geography,firmsize,year,quarter,Emp,EmpEnd,sEmp,sEmpEnd
6001,0,1991,3,,447034,-1,1
6001,1,1991,3,,98791,-1,1
6001,2,1991,3,,51407,-1,1
6001,3,1991,3,,79477,-1,1
6001,4,1991,3,,23357,-1,1
6001,5,1991,3,,194001,-1,1
6003,0,1991,3,,139,-1,1
6003,1,1991,3,,58,-1,1
6003,2,1991,3,,,-1,5
6003,4,1991,3,,,-1,5
6003,5,1991,3,,,-1,5
6005,0,1991,3,,5857,-1,1
6005,1,1991,3,,2907,-1,1
6005,2,1991,3,,816,-1,1
6005,3,1991,3,,1058,-1,1
6005,4,1991,3,,64,-1,1
6005,5,1991,3,,1013,-1,9
6007,0,1991,3,,45267,-1,1
6007,1,1991,3,,16793,-1,1
6007,2,1991,3,,6389,-1,1
6007,3,1991,3,,7248,-1,1
6007,4,1991,3,,1963,-1,1
6007,5,1991,3,,12875,-1,1
6009,0,1991,3,,4666,-1,1
6009,1,1991,3,,2641,-1,1
6009,2,1991,3,,1083,-1,1
6009,3,1991,3,,367,-1,1
6009,4,1991,3,,71,-1,1
6009,5,1991,3,,503,-1,9
6011,0,1991,3,,5520,-1,1
6011,1,1991,3,,3118,-1,1
6011,2,1991,3,,1029,-1,1
6011,3,1991,3,,480,-1,1
6011,4,1991,3,,232,-1,9
6011,5,1991,3,,661,-1,1
6013,0,1991,3,,226486,-1,1
6013,1,1991,3,,57379,-1,1
6013,2,1991,3,,27238,-1,1
6013,3,1991,3,,31538,-1,1
6013,4,1991,3,,11239,-1,1
6013,5,1991,3,,99092,-1,1
6015,0,1991,3,,4926,-1,1
6015,1,1991,3,,2231,-1,1
6015,2,1991,3,,506,-1,1
6015,3,1991,3,,590,-1,1
6015,4,1991,3,,189,-1,1
6015,5,1991,3,,1410,-1,1
6017,0,1991,3,,21537,-1,1
6017,1,1991,3,,11193,-1,1
6017,2,1991,3,,2684,-1,1
6017,3,1991,3,,2624,-1,1
6017,4,1991,3,,1197,-1,1
6017,5,1991,3,,3839,-1,1
6019,0,1991,3,,222826,-1,1
6019,1,1991,3,,76887,-1,1
6019,2,1991,3,,30488,-1,1
6019,3,1991,3,,43556,-1,1
6019,4,1991,3,,9388,-1,1
6019,5,1991,3,,62506,-1,1
6021,0,1991,3,,5313,-1,1
6021,1,1991,3,,2630,-1,1
6021,2,1991,3,,633,-1,1
6021,3,1991,3,,467,-1,1
6021,4,1991,3,,106,-1,1
6021,5,1991,3,,1477,-1,1
6023,0,1991,3,,33401,-1,1
6023,1,1991,3,,12187,-1,1
6023,2,1991,3,,4918,-1,1
6023,3,1991,3,,6860,-1,1
6023,4,1991,3,,972,-1,1
6023,5,1991,3,,8463,-1,1
6025,0,1991,3,,32019,-1,1
6025,1,1991,3,,10837,-1,1
6025,2,1991,3,,5055,-1,1
6025,3,1991,3,,5730,-1,1
6025,4,1991,3,,1362,-1,1
6025,5,1991,3,,9036,-1,1
6027,0,1991,3,,4089,-1,1
6027,1,1991,3,,2147,-1,1
6027,2,1991,3,,723,-1,1
6027,3,1991,3,,505,-1,1
6027,4,1991,3,,75,-1,1
6027,5,1991,3,,638,-1,1
6029,0,1991,3,,148461,-1,1
6029,1,1991,3,,44392,-1,1
6029,2,1991,3,,19831,-1,1
6029,3,1991,3,,28858,-1,1
6029,4,1991,3,,6415,-1,1
6029,5,1991,3,,48964,-1,1
6031,0,1991,3,,22187,-1,1
6031,1,1991,3,,7380,-1,1
6031,2,1991,3,,3004,-1,1
6031,3,1991,3,,3656,-1,1
6031,4,1991,3,,547,-1,1
6031,5,1991,3,,7599,-1,1
6033,0,1991,3,,7944,-1,1
6033,1,1991,3,,4216,-1,1
6033,2,1991,3,,863,-1,1
6033,3,1991,3,,1153,-1,1
6033,4,1991,3,,572,-1,1
6033,5,1991,3,,1141,-1,1
6035,0,1991,3,,4198,-1,1
6035,1,1991,3,,1943,-1,1
6035,2,1991,3,,616,-1,1
6035,3,1991,3,,392,-1,1
6035,4,1991,3,,254,-1,9
6035,5,1991,3,,994,-1,1
6037,0,1991,3,,3374405,-1,1
6037,1,1991,3,,636727,-1,1
6037,2,1991,3,,350355,-1,1
6037,3,1991,3,,587240,-1,1
6037,4,1991,3,,197499,-1,1
6037,5,1991,3,,1602584,-1,1
6039,0,1991,3,,23499,-1,1
6039,1,1991,3,,10361,-1,1
6039,2,1991,3,,3326,-1,1
6039,3,1991,3,,5127,-1,1
6039,4,1991,3,,811,-1,1
6039,5,1991,3,,3873,-1,1
6041,0,1991,3,,79940,-1,1
6041,1,1991,3,,28099,-1,1
6041,2,1991,3,,11202,-1,1
6041,3,1991,3,,15081,-1,1
6041,4,1991,3,,3095,-1,1
6041,5,1991,3,,22463,-1,1
6043,0,1991,3,,3432,-1,1
6043,1,1991,3,,1235,-1,1
6043,2,1991,3,,336,-1,1
6043,3,1991,3,,126,-1,9
6043,5,1991,3,,1736,-1,9
6045,0,1991,3,,21705,-1,1
6045,1,1991,3,,10151,-1,1
6045,2,1991,3,,3581,-1,1
6045,3,1991,3,,4411,-1,1
6045,4,1991,3,,160,-1,9
6045,5,1991,3,,3401,-1,1
6047,0,1991,3,,45149,-1,1
6047,1,1991,3,,15634,-1,1
6047,2,1991,3,,5977,-1,1
6047,3,1991,3,,7119,-1,1
6047,4,1991,3,,1347,-1,9
6047,5,1991,3,,15072,-1,1
6049,0,1991,3,,1648,-1,1
6049,1,1991,3,,1263,-1,1
6049,2,1991,3,,139,-1,1
6049,3,1991,3,,126,-1,1
6049,4,1991,3,,,-1,5
6049,5,1991,3,,111,-1,1
6051,0,1991,3,,3480,-1,1
6051,1,1991,3,,1634,-1,1
6051,2,1991,3,,558,-1,1
6051,3,1991,3,,442,-1,1
6051,4,1991,3,,,-1,5
6051,5,1991,3,,845,-1,1
6053,0,1991,3,,107445,-1,1
6053,1,1991,3,,38459,-1,1
6053,2,1991,3,,14752,-1,1
6053,3,1991,3,,19697,-1,1
6053,4,1991,3,,7680,-1,1
6053,5,1991,3,,26858,-1,1
6055,0,1991,3,,36100,-1,1
6055,1,1991,3,,13973,-1,1
6055,2,1991,3,,5658,-1,1
6055,3,1991,3,,6109,-1,1
6055,4,1991,3,,1362,-1,1
6055,5,1991,3,,8998,-1,1
6057,0,1991,3,,17023,-1,1
6057,1,1991,3,,7904,-1,1
6057,2,1991,3,,2396,-1,1
6057,3,1991,3,,2520,-1,1
6057,4,1991,3,,119,-1,1
6057,5,1991,3,,4083,-1,1
6059,0,1991,3,,1033525,-1,1
6059,1,1991,3,,211829,-1,1
6059,2,1991,3,,112149,-1,1
6059,3,1991,3,,178703,-1,1
6059,4,1991,3,,56541,-1,1
6059,5,1991,3,,474304,-1,1
6061,0,1991,3,,52700,-1,1
6061,1,1991,3,,16790,-1,1
6061,2,1991,3,,6145,-1,1
6061,3,1991,3,,6864,-1,1
6061,4,1991,3,,2257,-1,1
6061,5,1991,3,,20644,-1,1
6063,0,1991,3,,4346,-1,1
6063,1,1991,3,,2655,-1,1
6063,2,1991,3,,620,-1,9
6063,3,1991,3,,183,-1,1
6063,4,1991,3,,309,-1,9
6063,5,1991,3,,579,-1,1
6065,0,1991,3,,283963,-1,1
6065,1,1991,3,,68124,-1,1
6065,2,1991,3,,29797,-1,1
6065,3,1991,3,,45027,-1,1
6065,4,1991,3,,11971,-1,1
6065,5,1991,3,,129044,-1,1
6067,0,1991,3,,372386,-1,1
6067,1,1991,3,,131815,-1,1
6067,2,1991,3,,36383,-1,1
6067,3,1991,3,,53677,-1,1
6067,4,1991,3,,15567,-1,1
6067,5,1991,3,,134943,-1,1
6069,0,1991,3,,9653,-1,1
6069,1,1991,3,,4095,-1,1
6069,2,1991,3,,1761,-1,1
6069,3,1991,3,,2024,-1,1
6069,4,1991,3,,328,-1,1
6069,5,1991,3,,1444,-1,1
6071,0,1991,3,,321549,-1,1
6071,1,1991,3,,72500,-1,1
6071,2,1991,3,,36852,-1,1
6071,3,1991,3,,52144,-1,1
6071,4,1991,3,,16013,-1,1
6071,5,1991,3,,144040,-1,1
6073,0,1991,3,,739694,-1,1
6073,1,1991,3,,179408,-1,1
6073,2,1991,3,,83720,-1,1
6073,3,1991,3,,134480,-1,1
6073,4,1991,3,,42209,-1,1
6073,5,1991,3,,299877,-1,1
6075,0,1991,3,,535692,-1,1
6075,1,1991,3,,91093,-1,1
6075,2,1991,3,,45340,-1,1
6075,3,1991,3,,73251,-1,1
6075,4,1991,3,,27294,-1,1
6075,5,1991,3,,298715,-1,1
6077,0,1991,3,,136423,-1,1
